,Title,Company/Location,Description
29,CMI Data Scientist (Remote Eligible),general millsremote minneapolis mn 55426,skillsdo experience scripting yesnoeducationdo master degree yesno location1 general mill boulevard minneapolis mn 55426full job description job description overview general mill seeking data scientist work consumer market insight cmi decision science team decision science team provides strategic business analytics enable business team better understand data extract insight identify potential action take related strategic business question position focused building scaling maintaining capability identify strategic growth opportunity lens consumer looking exceptional person passionate data science predictive analytics machine learning technology data exploration sampling training data generation feature engineering model building performance evaluation part decision science team apply analytical rigor critical thinking creativity solve complex issue working business team require leveraging external partner working peer decision science team partnering end business user develop world class ecosystem part decision science team find opportunity grow data science skill large variety data business problem solve successful candidate right blend technical skill business acumen storytelling collaborative spirit key accountability looking someone help advanced analytics capability deliver business growth right candidate demonstrated technical business experience lead continued growth capability align strategic business decision would include create follow analytics project plan working agile work team develop leverage model segmentation analysis produce sound business insight scaled applied across global business area generate combine insight large disparate data source partner collaborate others within consumer market insight function serving analytics consultant advisor effectively communicate translate result level organization influence business decision strategy serving thought leader within consumer analytics measurement staying abreast latest advance marketing science analytics identifying opportunity within general mill application mentoring others method storytelling required qualification master degree data science similar analytics discipline applied mathematics economics statistic computer science operation research etc year data science marketing analytics role building leveraging advanced analytics statistical machine learning method experience mta bayesian model consumer analytics demonstrated experience translating analytics result turning analytics actionable business strategy delivering business objective demonstrated experience partnering stakeholder creating maintaining strong relationship proficient r python sql scripting language preferred qualification experience working global team remote team member working agile project management prior experience working strategy growth team prior experience working consumer packaged good retail industry
30,Data Scientist,evenupremote ontario ca,skillsdo experience spark yesno job detailshere job detail align locationontario cabenefitspulled full job description401 k dental insurancehealth insurancepaid time offvision insurancefull job description data team evenup driving force behind mission level playing field legal dispute believe insight crucial empowering plaintiff attorney achieve better legal outcome team collaborates across department transforming data tool strategy directly impact client success data scientist evenup work alongside legal expert product manager engineer build analytical backbone platform insight help u measure effectiveness legal strategy design fair impactful settlement model uncover operational efficiency improve turnaround time customer identify pattern legal case aid evenup offer unique dataset opportunity see work translate justice analyze complex legal datasets find pattern anomaly factor contributing explaining outcome collaborate legal expert interpret result translate insight actionable recommendation build data visualization tool empower internal team client make informed decision mentor junior data team member influence data literacy look year experience data scientist similar analytical role year experience product analytics demonstrated interest legal technology domain proven expertise statistical method regression hypothesis testing time series analysis ability communicate complex data concept stakeholder proficiency procedural programming language python r data work sound judgment understanding balancing quantitative analysis context background handling large datasets familiarity distributed computing tool spark hadoop experience contributing code larger codebase interest legal case data experience natural language processing nlp technique benefit perk goal empower every team member contribute mission fostering world regardless role location level experience end offer choice medical dental vision insurance plan family flexible paid time holiday per year stipend upgrade home office role 401k employee evenup equal opportunity employer committed diversity inclusion company discriminate based race religion color national origin gender sexual orientation age marital status veteran status disability status evenup evenup generative ai startup ensures injury victim awarded full value claim expanding award granted injury victim year every year legal system made difficult million ordinary people seek justice especially folk without mean come underrepresented background vision help injury victim get justice deserve irrespective income demographic quality legal representation evenup operates across type injury case police brutality child abuse california wildfire motor vehicle accident software empowers attorney accurately ass value case core part workflow legal drafting enabling secure larger settlement record time evenup evaluates case proprietary data grows enhancing precision prediction delivering value attorney victim alike one fastest growing startup 0 10m arr 2 year funded best investor world including signalfire bain bessemer led recent 50m series b
31,Data Scientist,chainlink labsremote,skillsdo experience window yesnoeducationdo master degree yesno job detailshere job detail align locationremotefull job description u chainlink lab primary contributing developer chainlink decentralized computing platform powering verifiable web chainlink platform providing access data offchain computation secure interoperability across blockchain chainlink lab help power verifiable application banking defi global trade gaming collaborating world largest financial institution notably swift dtcc anz chainlink lab also work top web3 team including aave compound gmx maker synthetix chainlink lab ranked newsweek 100 loved workplace 2023 united state united kingdom data science analytics team data science analytics team specializes deciphering complex blockchain financial market data working closely team like gtm product management engineering drive growth monitor risk build innovative product metric harness expertise pattern recognition trend analysis machine learning design product enhance existing blockchain oracle solution join u shaping future industry collaborative data data scientist working chain chain data drive growth strategy work crucial identifying growth lever optimizing marketing effort improving user experience ultimately increasing user base ecosystem value impact perform predictive prescriptive analytics understand behavior preference segmentation trend chainlink user design conduct experiment test growth hypothesis user acquisition engagement strategy understand user journey identify bottleneck provide insight improve user experience increase retention monitor web3 market competitor identify growth opportunity challenge develop maintain metric data pipeline dashboard guide drive business decision utilize ml pattern recognition ai solve problem creatively requirement strong python coding skill statistical analysis etl data structure data manipulation visualization ml like model evaluation api request strong sql skill window function aggregate function advanced join subqueries ctes query optimization data manipulation operation database design clustering partitioning etc ability develop maintain data pipeline tool dbt airflow ability take ownership solve ambiguous problem ability articulate complex problem stakeholder senior executive preferred requirement degree computer science related quantitative field experience experiment testing familiarity utilizing llm effective creative problem solving experience blockchain defi space working blockchain data deep focus continuous learning strong independent thinker location emea apac latam role chainlink lab global unless otherwise stated ask try overlap working hour eastern standard time est commitment equal opportunity chainlink lab equal opportunity employer qualified applicant receive equal consideration employment compliance applicable law regulation ordinance need assistance accommodation due disability special need applying role recruitment process please contact u via form global data privacy notice job candidate applicant information collected processed part chainlink lab career profile job application choose submit subject privacy policy submitting application agreeing use processing data required
32,Data Scientist,mcgraw hill,skillsdo experience sql yesnoeducationdo doctoral degree yesno locationremotebenefitspulled full job descriptionhealth insurancefull job description overview impact moment mcgraw hill create learning platform used million student educator worldwide every day design intuitive effective tool experience maximize teacher time student learning supportive collaborative environment work alongside brilliant colleague touch life around world see difference hard work make continue path lifelong learning data scientist join team data scientist ai researcher software developer psychometricians provide technical scientific leadership important strategic effort companywide help team deliver data science artificial intelligence solution collaborate closely colleague across function like product engineering learning design user experience help mcgraw hill create deliver educational experience remote position open applicant within united state perform research analysis modeling present finding use decision making work independently defined project checking manager time per week propose solution business problem adopting modifying common practice learn address variety problem tailoring collaborate colleague function support creation compelling learning experience looking someone doctoral degree equivalent ai data science related field conceptual knowledge rigorous course work academic project demonstrated ability apply knowledge independently define resolve problem using guideline guidance determine course action experience bayesian modeling computational psychometrics preferred affinity education strong technical communication collaboration skill experience interest creating scalable efficient code knowledge r python sql pay range position annually however base pay offered may vary depending knowledge skill experience location annual bonus plan may provided part compensation package addition full range medical benefit depending position offered click learn benefit offering mcgraw hill recruiter always use email address applicant tracking system icims variation email domain considered suspicious additionally mcgraw hill recruiter authorized representative never request sensitive information email
33,Data Scientist,loyola university health systemmaywood il 60153,skillsdo experience tableau yesnoeducationdo master degree yesno job detailshere job detail align scheduleday shift location2160 1st ave maywood il 60153benefitspulled full job descriptionbenefits day onegym gymtuition reimbursementfull job description employment type full time shift day shift description great opportunity data scientist work organization focus treating whole person physically emotionally spiritually seeking data scientist dedicated providing exceptional care serve loyola medicine return provide supportive atmosphere grow career make lasting impact data prepares make effective use data applies knowledge best practice support hospital level quality improvement initiative prepare dashboard develops visualization tool communicate data insight clinical team hospital leadership operational stakeholder successful data scientist ensure accurate extraction data generate analysis interprets complex data collaborates effectively user driving quality improvement project ultimately enhancing patient outcome design implement business intelligence tool impact performance measure create pathway report automation ensures seamless communication information user ingest data disparate source streamline automation end user position requires expertise data extraction various database data manipulation running analysis testing validating statistical model project need offer employee benefit day one competitive compensation career development tuition reimbursement site fitness center educational stipend referral reward promise joining loyola medicine part organization treat human spirit patient colleague part community belief giving back serve seek colleague bachelor degree master degree ispreferred specify degree health science computer science health informatics related field experience strong sql tableau skill essential python r programming preferred exposure ehr epic particular highly preferred commitment diversity inclusion trinity health one largest catholic healthcare system nation built foundation mission core value integrate diversity equity inclusion colleague different lived experience custom ability talent together become best self diverse inclusive workforce provides accessible equitable care serve trinity health equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability status protected veteran status protected law
34,Opportunities for Data Scientist,techpoint llccharlotte nc,skillsdo experience sql yesnoeducationdo doctoral degree yesno job detailshere job detail align typecontractshift schedulemonday friday locationcharlotte ncbenefitspulled full job description401 k full job descriptionjob overview seeking highly skilled motivated data scientist join team data scientist responsible analyzing complex datasets developing machine learning model providing valuable insight drive decision making exciting opportunity contribute project work talented team professional responsibility apply quantitative method develop capability meet line business risk management regulatory requirement maintain continuously enhance capability time respond changing nature portfolio economic condition emerging risk understand execute activity form model development use life cycle document effectively communicate quantitative method part ongoing engagement key stakeholder including line business risk manager model validation technology conduct quantitative analytics modeling project develop new model analytic process system approach create documentation activity work technology staff design system run model developed support aml event processor respective team requirement knowledge predictive modeling statistical sampling optimization machine learning artificial intelligence technique strong technical writing communication presentation skill ability effectively communicate quantitative topic audience experience large data set effective project management broad understanding financial product graduate degree quantitative discipline mathematics economics engineering finance physic year experience model development statistical work data analytics quantitative research phd strong programming skill r python sa sql language strong analytical skill company serious candidate techpoint llc equal opportunity employer job type contract benefit 401 k compensation package hourly pay experience level 5 year schedule monday friday ability relocate charlotte nc relocate starting work required work location person
35,Data Scientists Analysts,miracle software systemsmichigan,skillsdo experience teradata yesnoeducationdo master degree yesno job detailshere job detail align locationmichiganfull job description exp 3 15 year key skill sql data visualization data gathering responsibility position description strategy sustainability group within gdi support analytical solution insight across enterprise area like sustainability environment safety engineering se se enterprise product line management eplm battery electric vehicle bev others data scientist identifies formulates business problem engagement business partner domain expert develops solution optimization machine learning identified high impact problem successful candidate discovers curate new existing data source create insight business exciting opportunity utilize latest tool method statistic big data data science solve variety business problem role span full project lifecycle analytic problem definition data gathering analysis model development development testing operational deployment responsibility acquire deep understanding business problem translate appropriate business solution collaborate internally externally identify new novel data source explore potential use developing actionable business result drive development delivery analytic statistical model using skill data acquisition management algorithm design model development refinement work business partner using collaborative agile approach develop solution rapidly add value centered around user experience develop mathematical analytical optimization model support decision making ensure overall quality data solution throughout analytic development process examine interpret report analytical result written report oral presentation varied audience skill required strong python coding skill sql sql server experience visualization experience qlikview qlik sense tableau etc data gathering skill hadoop spark alteryx etc mathematical programming data mining statistical analysis machine learning skill oral written interpersonal communication skill skill preferred experience collaborating business develop strategy innovation solve complex business problem experience sql server developed implemented machine learning model experience required year experience mathematical programming data mining statistical analysis machine learning year experience one following tool data gathering sql hadoop spark teradata alteryx etc year experience visualization qlikview qlik sense tableau etc year experience python programming using etl extract transfer load tool strong oral written interpersonal communication skill experience preferred year experience collaborating business develop strategy innovation solve complex business problem year experience developing python year experience sql server year experience working large datasets big data tool hadoop spark hive etc including work developed implemented machine learning model ability drive result handle multiple project within given timeframe independent ready work minimal supervision proactive interested learning new tool technique comfortable working innovative environment problem always education required master degree data computer science industrial engineering operation research applied mathematics statistic econometrics related field education preferred
36,Data Scientist,advancioremote,skillsdo experience tensorflow yesnoeducationdo master degree yesno job detailshere job detail align locationremotefull job description job information work experience year industry technology remote job job description remote position although remote position looking individual reside morocco data scientist play crucial role extracting valuable insight large datasets apply statistical analysis machine learning data visualization technique solve complex business problem work drive contribute organization success responsibility data exploration cleaning collect clean preprocess raw data various source identify missing value outlier inconsistency statistical analysis apply statistical method analyze data trend correlation distribution conduct hypothesis testing interpret result machine learning modeling develop predictive model using algorithm linear regression decision tree random forest neural network optimize model performance feature engineering hyperparameter tuning data visualization create clear insightful visualization chart graph dashboard communicate finding stakeholder use tool like matplotlib seaborn tableau feature engineering engineer relevant feature raw data improve model accuracy handle categorical variable time series data text data collaboration work closely team product engineering business define project goal requirement communicate complex technical concept stakeholder model deployment monitoring deploy model production environment cloud monitor model performance address issue promptly continuous learning stay updated latest advancement data science machine learning ai participate conference workshop online course requirement qualification education bachelor master degree computer science statistic mathematics related field experience year experience data scientist similar role proficiency python r data manipulation modeling familiarity sql querying database skill strong analytical skill knowledge machine learning library tensorflow pytorch excellent communication skill
37,DATA SCIENTIST,analytosremote,skillsdo experience machine learning yesno job detailshere job detail align locationremotefull job description analytos lab looking experienced ai engineer join team ai engineer responsible building deploying machine learning model solve complex business problem looking someone passionate ai experience working large datasets strong background computer science excited working technology want hear location remote employment type ai engineer analytos lab responsible building deploying machine learning model solve complex business problem work team identify business need develop solution leverage latest ai technology addition opportunity collaborate r team develop new ai model algorithm analytos lab believe creating collaborative supportive work environment encourage employee share idea work together achieve goal ai engineer opportunity work technology part team driving innovation field ai successful role strong background computer science experience working large datasets also experience building deploying machine learning model production environment addition passionate ai eager learn grow field analytos lab value diversity committed creating inclusive work environment welcome applicant background encourage individual underrepresented group apply
38,Data Scientist,engenpittsburgh pa,skillsdo experience typing yesnoeducationdo master degree yesno job detailshere job detail align locationpittsburgh pafull job description company engen job description job summary due department defense dod contract requirement incumbent fill position must u citizen must also pas background check job build new analytical solution inform business process operation heart advanced analytics capability incumbent design executes synthesizes point analytics support specific business question program initiative incumbent problem solver understands utilizes organization business partner strategy goal process answer critical business question leveraging synthesizing large volume variety data available draw tool method statistic machine learning perform analysis create predictive model visualize data drive project delivery intended outcome continuously scan test new data source tool analytical technique partner leading institution expert contribute portfolio analytic project essential responsibility work directly business understand business process aim identify analytical solution could help deliver value would include accountable executing specific use case generated manager identifying data element needed get including proxy assembling data set independently using knowledge highmark operational analytic data structure deliver analytical solution specific business problem documenting objective assumption process line standard select apply appropriate advanced learning technique data set deliver business insight ensuring final analysis well researched accurate documented requires experience several advanced analytical technique evidenced knowledge delivery record example regression model learning neural network clustering technique natural language processing consult business contextualize translate result analysis form business understand act upon include written report presentation data visualization draw clear line problem specification colleague analysis performed result link directly back business objective identify path implementation drive frontline workflow work manager plan prepare element analysis way delivered time high standard ready implement production basis including dissemination organization user system includes identifying best route implementation developing analytical solution accordingly work experienced team member explore new analytical skill approach duty assigned requested education required master degree analytics mathematics physic computer information science engineering closely related field bachelor degree analytics mathematics physic computer information science engineering plus 3 year experience lieu master degree preferred none experience required none preferred data science experience preferred license certification required none preferred none skill analysis business analytical logical collaborative problem solving data analysis sql bigquery statistical analysis python r written oral presentation skill basic end skill language english none travel required 0 25 physical mental demand working condition position type teach train others regularly occasionally travel regularly office various work site occasionally work primarily office selling sale employee never physical work site required lifting 10 pound constantly lifting 10 25 pound occasionally lifting 25 50 pound rarely disclaimer job description designed indicate general nature essential duty responsibility work performed employee within job title may contain comprehensive inventory duty responsibility qualification required employee job compliance requirement position adheres ethical legal standard behavioral expectation set forth code business conduct company policy component job responsibility employee may access covered information cardholder data confidential customer information must protected time connection employee must comply health insurance portability accountability act 1996 hipaa described notice privacy practice privacy policy procedure well data security guideline established within company handbook privacy policy practice information security policy furthermore every employee responsibility comply company code business conduct includes limited adherence applicable federal state law rule regulation well company policy training requirement highmark health affiliate prohibit discrimination qualified individual based status protected veteran individual disability prohibit discrimination individual based race color age religion sex national origin sexual identity category protected applicable federal state local law highmark health affiliate take affirmative action employ advance employment individual without regard race color age religion sex national origin sexual identity protected veteran status disability eeo law equal opportunity employer identity http endeavor make site accessible user would like contact u regarding accessibility website need assistance completing application process please contact number accommodation request please contact hr service online hrservices california consumer privacy act employee contractor applicant notice
39,Data Scientist,tech holdingremote,skillsdo experience statistical analysis yesnoeducationdo bachelor degree yesno locationremotebenefitspulled full job description401 k matchingdental insurancedisability insuranceflexible schedulehealth insurancelife insuranceunlimited paid time offshow morechevron downfull job description u working tech holding job opportunity part something bigger consulting firm founded premise delivering predictable outcome solution client founder team member industry experience held senior position wide variety company emerging startup large fortune 50 firm taken combined experience developed unique approach supported principle deep expertise integrity transparency dependability role data scientist responsible leveraging power data analysis modeling solve complex problem drive strategic decision utilizing strong background aws environment ideal candidate extract insight large datasets build predictive model implement machine learning algorithm support company objective develop implement data model machine learning algorithm analytical process support company initiative design construct data architecture scalability reliability performance within aws environment analyze large complex datasets identify meaningful pattern trend translate insight actionable business strategy collaborate team understand data need deliver solution enable effective ensure data quality integrity developing maintaining clear robust data pipeline stay abreast industry trend advancement data science machine learning maintain competitive edge required skill minimum year experience data science related field proficiency aws cloud service infrastructure pertains data science strong foundation computer science principle deep understanding statistical analysis must certification aws data engineering data analysis experience machine learning framework tool excellent ability commitment delivering result strong communication skill ability convey complex concept stakeholder education certification bachelor degree computer science relevant year work experience offer flexible work hour unlimited pto competitive salary health dental vision life insurance long term disability 401k match professional development opportunity salary expectation year
40,Data Scientist,dataikuremote,skillsdo experience teaching yesno locationremotebenefitspulled full job description401 k matchingcommuter assistancedental insurancedisability insuranceflexible spending accounthealth insurancepaid parental leaveshow morechevron downfull job description dataiku adapting ai revolution leading since beginning paris 2013 pioneering future ai platform make data actionable accessible teammate across 25 country backed renowned set investor architect everyday ai enabling data expert domain expert work together build ai daily operation advanced analytics generative ai role data scientist dataiku quite unique data scientist code solution problem also participate endeavor throughout customer journey includes supporting discovery platform helping integrate dataiku tool technology user training data science project design deployment skill important technical data scientist work dataiku platform every day aside visual tool team us mostly python occasional work language r sql pyspark javascript ideal candidate excited learn complex new technology modeling technique able explain work data scientist client role help team data science project customer analyze investigate various kind data machine learning application across industry use case help user discover master dataiku platform via user training office hour ongoing consultative support provide data science expertise customer internally dataiku sale marketing team develop custom python plugins collaboration solution r product team enhance dataiku functionality might good fit role curiosity desire learn new topic skill empathy others eagerness share knowledge expertise colleague dataiku customer general public ability clearly explain complex topic technical well audience 4 year experience ml tool python r 1 4 year experience building model familiarity data visualization python understanding underlying data system cloud architecture hadoop sql location must located east coast technical skill may help role experience consulting data science role experience data engineering mlops experience developing webapps javascript rshiny dash experience building apis experience using enterprise data science tool passion teaching public speaking compensation benefit final compensation package role determined interview process based variety factor including limited geographic location internal equity education skill set experience training eligible role may also entitled receive commission variable compensation dataiku incentive compensation program dataiku also offer comprehensive benefit including stock option medical dental vision plan flexible spending account commuter benefit 401k company match paid vacation sick leave paid parental leave employer paid disability coverage additional health wellbeing perk benefit dataiku reserve right amend modify employee perk benefit time u national base pay range usd waiting dataiku part journey shape world ai building product crafting future ai ready make significant impact company value innovation collaboration personal growth ca wait welcome dataiku like learn even working visit dataiku linkedin page practice rooted idea everyone treated dignity decency fairness dataiku also belief diverse identity source strength allows u optimize across many dimension needed success therefore proud equal opportunity employer employment practice based business need without regard race ethnicity gender identity expression sexual orientation religion age neurodiversity disability status citizenship veteran status aspect make individual unique protected law regulation location operate applies policy procedure related recruitment hiring compensation benefit performance promotion termination condition term employment need assistance accommodation please contact u
41,Data Scientist,juniper networkscupertino ca 95014 monta vista south area,skillsdo experience seaborn yesnoeducationdo master degree yesno location1601 south de anza boulevard cupertino ca 95014benefitspulled full job description401 k health insuranceparental leavefull job description data scientist mist juniper company first vendor bring full stack ap switch route cloud aiops solution leader gartner wired wireless mq top real time cloud stack building platform answer question par network domain expert automate remediation poor user experience network mist marvis platform become new global standard many fortune 500 company mission data science team mist leverage ml ai technology build network solution deploy operate network faster par human domain expert team includes group experienced talented data scientist data science engineer build data analytics infrastructure ml model product looking data scientist help define expand mission data scientist mist data scientist team collaborate product manager customer domain expert identify real customer problem use deep knowledge develop model help predict user experience find root cause user experience problem work closely data engineer implement scale model production saas cloud environmnet responsibility collect clean transform data various source format model training perform exploratory data analysis visualization understand pattern trend build test deploy predictive model algorithm using appropriate tool framework production cloud environment communicate finding recommendation stakeholder client using clear compelling report presentation collaborate data scientist engineer domain expert project qualification requirement master phd computer science electrical engineering statistic applied math equivalent field strong mathematical background proficiency python r sql programming language data analysis experience data wrangling manipulation visualization tool library panda numpy matplotlib seaborn etc knowledge machine learning concept technique supervised unsupervised learning regression classification clustering dimensionality reduction etc familiarity cloud computing platform service aws azure google cloud strong analytical skill minimum salary maximum salary pay range position expected however base pay offered may vary depending multiple individualized factor including market location knowledge skill experience total compensation package position also includes medical benefit 401 k eligibility vacation sick time parental leave additional detail participation benefit plan provided employee receives offer employment hired employee position company reserve right modify base salary well payment compensation program time including reason related individual performance company individual performance market factor juniper pay range data provided accordance local state pay transparency regulation juniper may post different minimum wage range permanent residency petition pursuant u department labor requirement
42,Data Scientist,datalineprinceton nj 08540princeton junction,skillsdo experience sql yesnoeducationdo master degree yesno location5 vaughn drive princeton nj 08540full job description job description data scientist sought dataline princeton nj build statistical predictive model identify target customer client perform data extraction processing mining large database requirement m higher degree statistic applied mathematics related equivalent 6 month experience demonstrated knowledge mathematical statistical modeling data mining big data applied regression machine learning design analysis data structure algorithm programming c sql python r spss matlab apply send cv cover letter dataline 5 vaughn suite 307 princeton nj 08540 attn paul sobel
43,Data Scientist,albertsons companieshybrid remote pleasanton ca,skillsdo experience statistic yesnoeducationdo master degree yesno job detailshere job detail align yearjob locationpleasanton cafull job description company albertsons company forefront revolution retail fixation raising bar innovation building belonging culture team rallying company around unique purpose create joy around table inspire healthier tomorrow every community albertsons company one largest food drug retailer united state store 34 state district columbia banner include albertsons safeway vons shaw acme tom thumb randalls united supermarket pavilion star market haggen carrs king food market balducci food lover market support store 22 distribution center 19 manufacturing plant placing premium adaptability safety family work model presence purpose offer hybrid work environment remote work office time approach apply everyone team empowered make decision best bring flavor building future food start join team bring best self table data science albertsons inspired build best class customer experience revolutionize food drug retail industry looking people excited grocery experience harnessing power ai digital technology data science team collect relies big data existing store customer interaction 2300 nationwide store beyond highly driven team applies data science delight customer improve store operation optimize supply chain proactively improve product lifecycle enjoy working one richest data set world cutting edge technology ability see insight turned business impact regular basis work closely data scientist business partner identifying defining data science project building machine learning algorithm model top existing data platform candidate background computer science related technical field experience working large data set applying decision making successful candidate technically strong business savvy passion make impact creative storytelling timely action smart yet humble bias action position based pleasanton ca phoenix az main responsibility collaborate business team develop production grade machine learning model datasets improve customer overall shopping experience enhance apply customer lifetime value model support various business decision making generate sentiment analysis based survey customer feedback deliver lovable customer experience identify key driver customer satisfaction opportunity delight customer mining complex data apply machine learning enhance recommendation engine deliver personalized user experience ecommerce website loyalty mobile app build model algorithm fuel growth initiative digital merchandising marketing loyalty team apply predictive modeling technique optimize forecast planning need scale prototype implement reliable automated production workflow model collaborate software development engineer integrate model salary range annually starting salary vary based criterion location experience qualification may flexibility exceptional candidate copy full job description made available searching master phd degree quantitative discipline computer science engineering data science math statistic related field year industry experience applying data science modeling methodology regression model survival model ensemble modeling nlp recommendation algorithm clustering deep learning algorithm experimental design testing nonparametric bayesian modeling etc year experience proficiency sql python year sql development skill writing query transforming data mining structured unstructured data year experience building data science solution system big data platform snowflake spark hadoop strong teamwork communication skill ability write code python experience snowflake azure databricks strong plus like albertsons associate passion great service building lasting relationship customer companywide focus innovation continually enhancing digital product offering making easy customer get need wherever albertsons equal opportunity employer company equal opportunity employer discriminate basis race gender ethnicity religion national origin age disability veteran status gender sexual orientation basis prohibited law consistent applicable state local law company consider employment qualified applicant arrest conviction record endeavor make site accessible user would like contact u regarding accessibility website need assistance completing application process please contact u option 4
44,Healthcare Data Scientist,pashtekremote texas,skillsdo experience python yesnoeducationdo master degree yesno job detailshere job detail align locationtexasfull job description job title healthcare data scientist location remote duration job description seeking talented healthcare data scientist passion leveraging insight make positive impact healthcare outcome key member team responsible developing advanced machine learning model optimizing data processing pipeline derive actionable insight healthcare data responsibility utilize expertise generative ai azure openai llm prompt engineering innovate advance healthcare data science capability develop implement machine learning model tailored address challenge opportunity design build optimize etl pipeline ensure efficient data processing analysis utilize python extensively data analysis modeling visualization deploy machine learning model scale demonstrating ability operationalize data science solution effectively evaluate large language model llm explore application data science within healthcare domain requirement proven experience data science track record successful project contribution demonstrated expertise building developing machine learning model focused healthcare application proficiency designing building optimizing etl pipeline efficient data processing strong programming skill python experience using data analysis modeling visualization practical experience deploying machine learning model scale highly desirable familiarity evaluation large language model llm application data science excellent skill ability thrive collaborative team environment strong communication skill ability convey complex technical concept stakeholder
45,CMI Data Scientist (Remote Eligible),general millsremote minneapolis mn 55426,skillsdo experience scripting yesnoeducationdo master degree yesno location1 general mill boulevard minneapolis mn 55426full job description job description overview general mill seeking data scientist work consumer market insight cmi decision science team decision science team provides strategic business analytics enable business team better understand data extract insight identify potential action take related strategic business question position focused building scaling maintaining capability identify strategic growth opportunity lens consumer looking exceptional person passionate data science predictive analytics machine learning technology data exploration sampling training data generation feature engineering model building performance evaluation part decision science team apply analytical rigor critical thinking creativity solve complex issue working business team require leveraging external partner working peer decision science team partnering end business user develop world class ecosystem part decision science team find opportunity grow data science skill large variety data business problem solve successful candidate right blend technical skill business acumen storytelling collaborative spirit key accountability looking someone help advanced analytics capability deliver business growth right candidate demonstrated technical business experience lead continued growth capability align strategic business decision would include create follow analytics project plan working agile work team develop leverage model segmentation analysis produce sound business insight scaled applied across global business area generate combine insight large disparate data source partner collaborate others within consumer market insight function serving analytics consultant advisor effectively communicate translate result level organization influence business decision strategy serving thought leader within consumer analytics measurement staying abreast latest advance marketing science analytics identifying opportunity within general mill application mentoring others method storytelling required qualification master degree data science similar analytics discipline applied mathematics economics statistic computer science operation research etc year data science marketing analytics role building leveraging advanced analytics statistical machine learning method experience mta bayesian model consumer analytics demonstrated experience translating analytics result turning analytics actionable business strategy delivering business objective demonstrated experience partnering stakeholder creating maintaining strong relationship proficient r python sql scripting language preferred qualification experience working global team remote team member working agile project management prior experience working strategy growth team prior experience working consumer packaged good retail industry
